 
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
 ----------------------------------------------------------------------------------------
    0  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  21    0    0
    1  3.629021901461023e-12  3.629021901461023e-08  2.979166031180459e-12  21    5    5
    2  3.629021901461023e-08  7.258043802922046e-07  2.979456598576975e-08  21    5    7
    3  7.258043802922046e-07  1.451608760584409e-05  6.255954438851742e-07  21    5   10
    4  1.451608760584409e-05  2.903217521168818e-04  1.252930976498461e-05  21    5   15
    5  2.903217521168818e-04  6.126068069778898e-04  2.459838644186664e-04  21    5   25
    6  6.126068069778898e-04  9.290787020628659e-04  7.144322430964959e-04  21    5   32
    7  9.290787020628659e-04  1.489561505368306e-03  1.379420423280460e-03  21    5   35
    8  1.489561505368306e-03  2.325159614097548e-03  2.469259985973726e-03  23    5   52
    9  2.325159614097548e-03  3.361999740396916e-03  4.371341102713385e-03  25    5   57
   10  3.361999740396916e-03  6.201055294512209e-03  6.521135930410380e-03  25    5   54
   11  6.201055294512209e-03  1.418650069539443e-02  9.936752057635235e-03  25    5   67
   12  1.418650069539443e-02  2.333213441555008e-02  1.585365842114031e-02  31    5  105
   13  2.333213441555008e-02  4.406570962019823e-02  2.310185354591553e-02  35    5  105
   14  2.008717179820959e-02  2.008717179820959e-02  2.619889986889061e-02  39   10  210
   15  8.346522811620464e-03  7.516706023047939e-03  2.618935131509393e-02  45   10  210
   16  7.516706023047939e-03  1.495982035074134e-02  2.605945023323194e-02  49    5  105
   17  1.111835094428806e-02  1.043206929750673e-02  2.680310543767818e-02  51   10  210
   18  1.043206929750673e-02  1.509912815975813e-02  2.757588323574690e-02  51    5  105
   19  2.230665125977254e-03  2.230665125977254e-03  2.882948365478040e-02  55   15  315
   20  2.230665125977254e-03  1.531517453472657e-02  2.897539770462856e-02  55    5  103
   21  1.531517453472657e-02  1.649126444481822e-02  2.983825560863861e-02  55    5  105
   22  9.196187820414967e-03  9.196187820414967e-03  2.946262498296182e-02  60   10  210
   23  9.196187820414967e-03  3.036135590208354e-02  2.934957847587715e-02  62    5  105
   24  3.036135590208354e-02  2.824109528142596e-02  3.019083663918624e-02  62    5  105
   25  5.767357365903751e-03  5.767357365903751e-03  3.031100857768801e-02  62   15  315
   26  5.767357365903751e-03  3.181338676737989e-02  3.042185345764588e-02  62    5  105
   27  3.181338676737989e-02  4.544743555056333e-02  3.089848026181038e-02  62    5  105
   28  1.136185888764083e-02  1.136185888764083e-02  3.102713583604160e-02  62    6  126
   29  1.136185888764083e-02  1.101971236076085e-02  3.111573737276951e-02  62    5  105
   30  1.101971236076085e-02  2.032915619754837e-02  3.121556348208696e-02  62    5  105
   31  1.810888029400946e-02  1.810888029400946e-02  3.135670708815374e-02  62   10  210
   32  1.810888029400946e-02  2.234029750896407e-02  3.148115671516088e-02  62    5  105
   33  2.234029750896407e-02  2.889109188475510e-02  3.160878025037404e-02  62    5  105
   34  2.889109188475510e-02  3.120042409187010e-02  3.173412977265944e-02  62    5  105
   35  7.800106022967526e-03  7.800106022967526e-03  3.176464043664869e-02  62    8  168
   36  7.800106022967526e-03  3.170037066227539e-02  3.179375653346459e-02  62    5  105
   37  3.170037066227539e-02  3.787213092748833e-02  3.189887295603718e-02  62    5  105
   38  2.837355332913126e-02  2.837355332913126e-02  3.197801883167253e-02  62   10  210
   39  2.837355332913126e-02  3.278446668151765e-02  3.204779178298942e-02  62    5  105
   40  3.278446668151765e-02  3.020564177204807e-02  3.211240653324073e-02  62    5  105
   41  7.551410443012017e-03  7.551410443012017e-03  3.212626059266561e-02  62    8  168
   42  7.551410443012017e-03  9.178102815962437e-03  3.213890913006593e-02  62    5  105
   43  9.178102815962437e-03  1.649464282378404e-02  3.215471668066559e-02  62    5  105
   44  1.649464282378404e-02  2.602185028814931e-02  3.218133771973418e-02  62    5  105
   45  1.713665707473882e-02  1.713665707473882e-02  3.220690702186930e-02  62   10  210
   46  1.713665707473882e-02  3.530352717263601e-02  3.223040887486339e-02  62    5  105
   47  8.825881793159003e-03  8.825881793159003e-03  3.224177338005089e-02  62    8  168
   48  8.825881793159003e-03  2.586353802027211e-02  3.225265894426493e-02  62    5  105
   49  2.586353802027211e-02  3.291894174702289e-02  3.228169996973265e-02  62    5  105
   50  3.291894174702289e-02  4.048834834381512e-02  3.231625687442660e-02  62    5  105
   51  4.048834834381512e-02  6.688543998612889e-02  3.235083603511235e-02  62    5  105
   52  6.688543998612889e-02  6.955316324211452e-02  3.239371035449163e-02  62    5  105
   53  6.955316324211452e-02  6.790707004153698e-02  3.243064328586971e-02  62    5  105
   54  1.697676751038425e-02  1.697676751038425e-02  3.243617411633083e-02  62    9  189
   55  1.697676751038425e-02  3.162563349768197e-02  3.244133298132829e-02  62    5  105
   56  3.162563349768197e-02  4.821561406413451e-02  3.245001080654254e-02  62    5  105
   57  4.821561406413451e-02  7.764755023495810e-02  3.246092238823795e-02  62    5  105
   58  1.941188755873953e-02  1.941188755873953e-02  3.246445882359153e-02  62    6  126
   59  1.941188755873953e-02  3.882377511747900e-02  3.246778727298686e-02  62    5  105
   60  3.882377511747900e-02  3.882377511747900e-02  3.247351310624037e-02  62    5  105
 ----------------------------------------------------------------------------------------
 Final solver statistics:
   Total number of time steps = 60
   Total nonlinear iterations = 370
   Total linear iterations    = 6972

